,is_not_hispanic,derived_race,is_male,action_taken,preapproval_requested,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt
13,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Improvement,75000.0,8.98,2,2,83.0,50%-60%,65-74,3.1667154449664223,0.55,45.650000000000006
14,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,95000.0,94.99,2,2,204.0,36%-<50%,35-44,6.569703737701733,0.38,77.52
15,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Purchase,195000.0,134.35,2,2,42.0,50%-60%,35-44,7.069852511125804,0.55,23.1
16,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,FHA-insured,Refinancing,285000.0,85.0,2,2,82.0,20%-<30%,35-44,6.409390936137702,0.25,20.5
17,Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,105000.0,59.7,2,2,68.0,36%-<50%,65-74,5.899659026377443,0.38,25.84
18,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,425000.0,64.78,2,2,87.0,36%-<50%,45-54,6.017476563020462,0.38,33.06
19,Not Hispanic or Latino,Minority Races,Male,0,No Preapproval Requested,VA-guaranteed,Refinancing,495000.0,100.0,2,2,3078.0,<20%,35-44,6.643856189774724,0.15,461.7
20,Not Hispanic or Latino,White,Female,1,Preapproval Requested,Converntional,Home Purchase,535000.0,71.81,2,2,188.0,30%-<36%,25-34,6.1661128574014255,0.33,62.040000000000006
21,Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Improvement,255000.0,75.38,2,2,108.0,50%-60%,45-54,6.236109889889632,0.55,59.400000000000006
22,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Improvement,145000.0,95.0,2,2,123.0,36%-<50%,25-34,6.569855608330948,0.38,46.74
23,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,85000.0,88.38,2,2,118.0,36%-<50%,45-54,6.465648025982281,0.38,44.84
24,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,65000.0,89.9,2,2,306.0,36%-<50%,45-54,6.490249210627085,0.38,116.28
25,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,25000.0,52.88,2,2,83.0,30%-<36%,55-64,5.724650271732967,0.33,27.39
26,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,135000.0,94.99,2,2,65.0,50%-60%,25-34,6.569703737701733,0.55,35.75
27,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,VA-guaranteed,Refinancing,265000.0,47.45,2,2,118.0,20%-<30%,55-64,5.568336182133747,0.25,29.5
28,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,395000.0,79.59,2,2,207.0,36%-<50%,25-34,6.314515271175128,0.38,78.66
29,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,1315000.0,85.0,2,2,249.0,36%-<50%,35-44,6.409390936137702,0.38,94.62
30,Not Hispanic or Latino,White,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,565000.0,83.71,2,2,122.0,36%-<50%,35-44,6.387328072366118,0.38,46.36
31,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Improvement,225000.0,72.95,2,2,169.0,36%-<50%,45-54,6.1888360730305285,0.38,64.22
32,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,395000.0,47.87,2,2,77.0,50%-60%,25-34,5.581049900945041,0.55,42.35
33,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,735000.0,97.0,2,2,164.0,50%-60%,35-44,6.599912842187128,0.55,90.2
34,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,55000.0,54.16,2,2,84.0,>60%,35-44,5.759155833800272,0.65,54.6
35,Not Hispanic or Latino,Asian,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,435000.0,80.0,2,2,128.0,20%-<30%,35-44,6.321928094887363,0.25,32.0
36,Not Hispanic or Latino,Minority Races,Female,0,No Preapproval Requested,FHA-insured,Refinancing,105000.0,47.15,2,2,65.0,30%-<36%,45-54,5.559185865787734,0.33,21.45
37,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,775000.0,66.95,2,2,140.0,36%-<50%,55-64,6.0650121504369485,0.38,53.2
38,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,65000.0,78.63,2,2,171.0,50%-60%,45-54,6.297007949274849,0.55,94.05000000000001
39,Not Hispanic or Latino,White,Female,1,Preapproval Requested,Converntional,Home Purchase,295000.0,90.0,2,2,162.0,36%-<50%,55-64,6.491853096329675,0.38,61.56
40,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,75000.0,48.88,2,2,158.0,30%-<36%,55-64,5.611172380044005,0.33,52.14
41,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,VA-guaranteed,Refinancing,715000.0,100.0,2,2,-15.0,<20%,35-44,6.643856189774724,0.15,-2.25
42,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Improvement,55000.0,59.52,2,2,142.0,20%-<30%,45-54,5.895302621333307,0.25,35.5
43,Not Hispanic or Latino,Asian,Male,1,Preapproval Requested,Converntional,Home Purchase,635000.0,80.0,2,2,125.0,36%-<50%,35-44,6.321928094887363,0.38,47.5
44,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,255000.0,50.0,2,2,72.0,50%-60%,45-54,5.643856189774724,0.55,39.6
45,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,545000.0,101.74,2,2,143.0,36%-<50%,35-44,6.668743189087904,0.38,54.34
46,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,105000.0,35.93,2,2,129.0,>60%,45-54,5.167117030227439,0.65,83.85000000000001
47,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,95000.0,82.26,2,2,12.0,>60%,35-44,6.362119166725657,0.65,7.800000000000001
48,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,105000.0,84.11,2,2,28.0,>60%,45-54,6.394205430358875,0.65,18.2
49,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Improvement,55000.0,26.12,2,2,60.0,50%-60%,55-64,4.707082991771706,0.55,33.0
50,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,75000.0,82.66,2,2,127.0,30%-<36%,45-54,6.369117458599815,0.33,41.910000000000004
51,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,325000.0,50.66,2,2,122.0,36%-<50%,35-44,5.662775171937776,0.38,46.36
52,Not Hispanic or Latino,Minority Races,Female,1,No Preapproval Requested,Converntional,Home Improvement,105000.0,85.93,2,2,156.0,36%-<50%,45-54,6.425089989874059,0.38,59.28
53,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,55000.0,55.62,2,2,126.0,>60%,55-64,5.797531839571962,0.65,81.9
54,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,75000.0,92.57,2,2,71.0,36%-<50%,55-64,6.532472816842871,0.38,26.98
55,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,85000.0,6.8,1,2,95.0,30%-<36%,65-74,2.765534746362977,0.33,31.35
56,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,55000.0,72.9,2,2,55.0,50%-60%,35-44,6.187846909439575,0.55,30.250000000000004
57,Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Improvement,255000.0,75.42,2,2,106.0,>60%,45-54,6.23687524536694,0.65,68.9
58,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,65000.0,94.02,2,2,126.0,20%-<30%,45-54,6.554895775419012,0.25,31.5
59,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Improvement,35000.0,89.99,2,2,144.0,30%-<36%,25-34,6.491692787974502,0.33,47.52
60,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,55000.0,53.17,2,2,115.0,>60%,55-64,5.732540561308117,0.65,74.75
61,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Purchase,265000.0,101.74,2,2,80.0,30%-<36%,35-44,6.668743189087904,0.33,26.400000000000002
62,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,255000.0,89.74,2,2,147.0,>60%,45-54,6.48767927890162,0.65,95.55
63,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Other Purpose,85000.0,85.21,2,2,153.0,>60%,35-44,6.4129508458058835,0.65,99.45
64,Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,165000.0,95.0,2,2,154.0,50%-60%,45-54,6.569855608330948,0.55,84.7
65,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,225000.0,71.23,2,2,105.0,>60%,25-34,6.1544130851749665,0.65,68.25
66,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,FHA-insured,Refinancing,385000.0,106.31,2,2,79.0,>60%,25-34,6.732133499455177,0.65,51.35
67,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,VA-guaranteed,Home Purchase,445000.0,100.0,2,2,149.0,36%-<50%,45-54,6.643856189774724,0.38,56.62
68,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,205000.0,43.01,2,2,66.0,>60%,45-54,5.426600226169925,0.65,42.9
69,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,155000.0,90.0,2,2,150.0,50%-60%,45-54,6.491853096329675,0.55,82.5
70,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,545000.0,80.1,2,2,65.0,>60%,45-54,6.323730337521348,0.65,42.25
71,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,FHA-insured,Refinancing,535000.0,73.48,2,2,150.0,50%-60%,45-54,6.199279721336625,0.55,82.5
72,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Improvement,65000.0,75.3,2,2,138.0,36%-<50%,35-44,6.234577959784565,0.38,52.44
73,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,75000.0,10.0,2,2,120.0,<20%,45-54,3.321928094887362,0.15,18.0
74,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,105000.0,54.4,1,2,25.0,>60%,65-74,5.765534746362977,0.65,16.25
75,Not Hispanic or Latino,Black or African American,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,605000.0,93.14,2,2,145.0,50%-60%,25-34,6.541328977045604,0.55,79.75
76,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,435000.0,95.0,2,2,106.0,36%-<50%,25-34,6.569855608330948,0.38,40.28
77,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,55000.0,64.93,2,2,158.0,50%-60%,35-44,6.020813304252452,0.55,86.9
78,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,55000.0,51.36,2,2,68.0,36%-<50%,35-44,5.682573297347578,0.38,25.84
79,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Purchase,355000.0,101.75,2,2,154.0,30%-<36%,35-44,6.668884984266247,0.33,50.82
80,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,265000.0,74.28,2,2,55.0,>60%,35-44,6.214901910160696,0.65,35.75
81,Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,505000.0,82.11,2,2,840.0,<20%,25-34,6.359486030311388,0.15,126.0
82,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,85000.0,82.6,2,2,95.0,50%-60%,35-44,6.368069876532083,0.55,52.25000000000001
83,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,185000.0,25.83,1,2,62.0,36%-<50%,55-64,4.690975738343275,0.38,23.56
84,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,525000.0,89.52,2,2,123.0,>60%,35-44,6.484138131201669,0.65,79.95
85,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,875000.0,70.0,2,2,192.0,36%-<50%,45-54,6.129283016944966,0.38,72.96000000000001
86,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,105000.0,63.68,2,2,138.0,36%-<50%,55-64,5.992768430768924,0.38,52.44
87,Not Hispanic or Latino,Asian,Male,1,Preapproval Requested,Converntional,Home Purchase,365000.0,100.0,2,2,217.0,>60%,25-34,6.643856189774724,0.65,141.05
88,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,325000.0,101.75,2,2,79.0,36%-<50%,25-34,6.668884984266247,0.38,30.02
89,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,VA-guaranteed,Home Purchase,515000.0,100.0,2,2,124.0,50%-60%,35-44,6.643856189774724,0.55,68.2
90,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,415000.0,73.87,2,2,96.0,50%-60%,45-54,6.206916672538598,0.55,52.800000000000004
91,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,175000.0,61.97,2,2,101.0,36%-<50%,35-44,5.953498063196885,0.38,38.38
92,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,175000.0,95.0,2,2,70.0,20%-<30%,35-44,6.569855608330948,0.25,17.5
93,Not Hispanic or Latino,White,Female,1,Preapproval Requested,Converntional,Home Purchase,345000.0,53.77,2,2,114.0,20%-<30%,25-34,5.748729566500743,0.25,28.5
94,Not Hispanic or Latino,Black or African American,Male,1,Preapproval Requested,Converntional,Home Purchase,395000.0,101.74,2,2,88.0,36%-<50%,35-44,6.668743189087904,0.38,33.44
95,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,105000.0,96.47,2,2,93.0,36%-<50%,25-34,6.592008461307306,0.38,35.34
96,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,425000.0,97.0,2,2,124.0,20%-<30%,35-44,6.599912842187128,0.25,31.0
97,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,65000.0,34.86,2,2,116.0,50%-60%,45-54,5.12350066435096,0.55,63.800000000000004
98,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,125000.0,66.03,2,2,68.0,50%-60%,35-44,6.045049740837989,0.55,37.400000000000006
99,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,195000.0,64.2,2,2,89.0,>60%,55-64,6.004501392234941,0.65,57.85
100,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Purchase,165000.0,101.75,2,2,97.0,30%-<36%,25-34,6.668884984266247,0.33,32.01
101,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Other Purpose,25000.0,89.84,2,2,84.0,50%-60%,55-64,6.489286022625876,0.55,46.2
102,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,915000.0,101.74,2,2,230.0,36%-<50%,35-44,6.668743189087904,0.38,87.4
103,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,245000.0,57.0,2,2,85.0,20%-<30%,25-34,5.832890014164741,0.25,21.25
104,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,135000.0,34.93,2,2,54.0,>60%,55-64,5.1263947376201395,0.65,35.1
105,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,295000.0,101.74,2,2,85.0,36%-<50%,45-54,6.668743189087904,0.38,32.3
106,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,345000.0,94.0,2,2,81.0,>60%,25-34,6.554588851677638,0.65,52.65
107,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Purchase,85000.0,95.0,2,2,75.0,20%-<30%,35-44,6.569855608330948,0.25,18.75
108,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,25000.0,94.66,2,2,65.0,50%-60%,35-44,6.564683016963639,0.55,35.75
109,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,265000.0,87.0,2,2,166.0,20%-<30%,35-44,6.442943495848728,0.25,41.5
110,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,45000.0,17.84,2,2,101.0,30%-<36%,55-64,4.15704371014558,0.33,33.33
111,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,35000.0,55.84,2,2,86.0,36%-<50%,65-74,5.803227036434928,0.38,32.68
112,Not Hispanic or Latino,White,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,675000.0,100.0,2,2,130.0,36%-<50%,25-34,6.643856189774724,0.38,49.4
113,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,315000.0,101.75,2,2,75.0,36%-<50%,35-44,6.668884984266247,0.38,28.5
114,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Improvement,105000.0,49.62,2,2,122.0,20%-<30%,35-44,5.632849830117706,0.25,30.5
115,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Improvement,225000.0,89.52,2,2,123.0,>60%,35-44,6.484138131201669,0.65,79.95
116,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,VA-guaranteed,Refinancing,495000.0,100.0,2,2,118.0,36%-<50%,>74,6.643856189774724,0.38,44.84
117,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Purchase,555000.0,42.62,2,2,0.0,<20%,45-54,5.413458688007979,0.15,0.0
118,Not Hispanic or Latino,White,Female,1,Preapproval Requested,Converntional,Home Purchase,335000.0,101.74,2,2,97.0,30%-<36%,25-34,6.668743189087904,0.33,32.01
119,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Improvement,85000.0,100.23,2,2,136.0,36%-<50%,55-64,6.6471705782814015,0.38,51.68
120,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Home Improvement,155000.0,76.22,2,2,175.0,>60%,55-64,6.252097703037443,0.65,113.75
121,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,465000.0,101.74,2,2,138.0,20%-<30%,35-44,6.668743189087904,0.25,34.5
122,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,45000.0,80.15,2,2,129.0,30%-<36%,45-54,6.324630615267186,0.33,42.57
123,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,65000.0,14.84,2,2,104.0,30%-<36%,65-74,3.8914191868460786,0.33,34.32
124,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,635000.0,90.0,2,2,97.0,>60%,45-54,6.491853096329675,0.65,63.050000000000004
125,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,295000.0,97.0,2,2,80.0,36%-<50%,45-54,6.599912842187128,0.38,30.4
126,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,105000.0,51.19,2,2,152.0,36%-<50%,35-44,5.677790101216656,0.38,57.76
127,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,55000.0,10.43,2,2,19.0,>60%,65-74,3.382667252745041,0.65,12.35
128,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,25000.0,25.39,2,2,23.0,50%-60%,>74,4.6661884898727815,0.55,12.65
129,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,45000.0,31.92,2,2,105.0,30%-<36%,45-54,4.9963887464476215,0.33,34.65
130,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,575000.0,100.0,2,2,145.0,50%-60%,35-44,6.643856189774724,0.55,79.75
131,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,85000.0,40.76,2,2,47.0,50%-60%,35-44,5.349082146391089,0.55,25.85
132,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,VA-guaranteed,Home Purchase,305000.0,100.0,2,2,95.0,36%-<50%,45-54,6.643856189774724,0.38,36.1
133,Not Hispanic or Latino,Black or African American,Male,1,Preapproval Requested,Converntional,Home Purchase,465000.0,101.75,2,2,132.0,50%-60%,35-44,6.668884984266247,0.55,72.60000000000001
134,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,35000.0,81.42,2,2,106.0,36%-<50%,45-54,6.3473113163652854,0.38,40.28
135,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,105000.0,22.62,2,2,52.0,36%-<50%,55-64,4.499527024215096,0.38,19.76
136,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,55000.0,16.37,2,2,36.0,50%-60%,55-64,4.032982416699429,0.55,19.8
137,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,105000.0,52.85,2,2,50.0,>60%,35-44,5.7238315664953205,0.65,32.5
138,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,95000.0,20.5,2,2,120.0,30%-<36%,45-54,4.357552004618084,0.33,39.6
139,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Improvement,35000.0,90.27,2,2,140.0,20%-<30%,45-54,6.4961747022797685,0.25,35.0
140,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Home Improvement,65000.0,73.09,2,2,60.0,>60%,55-64,6.191602128461868,0.65,39.0
141,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,115000.0,77.88,2,2,133.0,50%-60%,35-44,6.28318097894557,0.55,73.15
142,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Home Improvement,155000.0,78.15,2,2,120.0,36%-<50%,25-34,6.288173968112302,0.38,45.6
143,Hispanic or Latino,Black or African American,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,455000.0,100.0,2,2,118.0,30%-<36%,35-44,6.643856189774724,0.33,38.940000000000005
144,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Home Improvement,85000.0,89.67,2,2,150.0,>60%,35-44,6.486553492624526,0.65,97.5
145,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,155000.0,71.57,2,2,225.0,50%-60%,55-64,6.161283074542011,0.55,123.75000000000001
146,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,VA-guaranteed,Refinancing,195000.0,25.39,2,2,37.0,>60%,55-64,4.6661884898727815,0.65,24.05
147,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Improvement,405000.0,59.25,2,2,201.0,20%-<30%,25-34,5.888743248898259,0.25,50.25
148,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,595000.0,101.74,2,2,97.0,36%-<50%,35-44,6.668743189087904,0.38,36.86
149,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,155000.0,93.63,2,2,86.0,50%-60%,45-54,6.548898952865642,0.55,47.300000000000004
150,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,65000.0,24.05,2,2,112.0,36%-<50%,45-54,4.587964988882679,0.38,42.56
151,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,505000.0,101.74,2,2,87.0,50%-60%,35-44,6.668743189087904,0.55,47.85
152,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,65000.0,99.43,2,2,145.0,50%-60%,35-44,6.6356093020192395,0.55,79.75
