,derived_ethnicity,derived_race,derived_sex,action_taken,preapproval,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age
123,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,85000.0,95.0,2,2,75.0,20%-<30%,35-44
124,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,25000.0,94.66,2,2,65.0,50%-60%,35-44
125,Ethnicity Not Available,Race Not Available,Male,1,2,1,2,205000.0,80.91,2,2,484.0,41,35-44
126,Ethnicity Not Available,Race Not Available,Female,1,2,1,2,35000.0,48.28,2,2,126.0,20%-<30%,45-54
127,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,265000.0,87.0,2,2,166.0,20%-<30%,35-44
128,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,45000.0,17.84,2,2,101.0,30%-<36%,55-64
129,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,35000.0,55.84,2,2,86.0,40,65-74
130,Ethnicity Not Available,Race Not Available,Male,3,2,1,32,205000.0,54.16,2,2,14.0,>60%,>74
131,Ethnicity Not Available,Race Not Available,Male,1,2,1,32,145000.0,69.98,2,2,100.0,50%-60%,25-34
132,Not Hispanic or Latino,White,Male,1,1,3,1,675000.0,100.0,2,2,130.0,37,25-34
133,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,315000.0,101.75,2,2,75.0,49,35-44
134,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,105000.0,49.62,2,2,122.0,20%-<30%,35-44
135,Not Hispanic or Latino,Black or African American,Male,1,2,1,2,225000.0,89.52,2,2,123.0,>60%,35-44
136,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,495000.0,100.0,2,2,118.0,43,>74
137,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,555000.0,42.62,2,2,0.0,<20%,45-54
138,Not Hispanic or Latino,White,Female,1,1,1,1,335000.0,101.74,2,2,97.0,30%-<36%,25-34
139,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,85000.0,100.23,2,2,136.0,36,55-64
140,Not Hispanic or Latino,White,Male,3,2,1,2,155000.0,76.22,2,2,175.0,>60%,55-64
141,Ethnicity Not Available,Black or African American,Male,3,2,1,31,35000.0,60.13,2,2,72.0,50%-60%,45-54
142,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,465000.0,101.74,2,2,138.0,20%-<30%,35-44
143,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,45000.0,80.15,2,2,129.0,30%-<36%,45-54
144,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,65000.0,14.84,2,2,104.0,30%-<36%,65-74
145,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,635000.0,90.0,2,2,97.0,>60%,45-54
146,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,295000.0,97.0,2,2,80.0,48,45-54
147,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,105000.0,51.19,2,2,152.0,39,35-44
148,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,55000.0,10.43,2,2,19.0,>60%,65-74
149,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,25000.0,25.39,2,2,23.0,50%-60%,>74
150,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,45000.0,31.92,2,2,105.0,30%-<36%,45-54
151,Not Hispanic or Latino,White,Male,1,1,1,1,575000.0,100.0,2,2,145.0,50%-60%,35-44
152,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,85000.0,40.76,2,2,47.0,50%-60%,35-44
153,Not Hispanic or Latino,Black or African American,Female,3,2,3,1,305000.0,100.0,2,2,95.0,49,45-54
154,Not Hispanic or Latino,Black or African American,Male,1,1,1,1,465000.0,101.75,2,2,132.0,50%-60%,35-44
155,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,35000.0,81.42,2,2,106.0,40,45-54
156,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,105000.0,22.62,2,2,52.0,40,55-64
157,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,16.37,2,2,36.0,50%-60%,55-64
158,Ethnicity Not Available,Race Not Available,Female,3,2,1,31,75000.0,14.28,2,2,73.0,>60%,55-64
159,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,105000.0,52.85,2,2,50.0,>60%,35-44
160,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,95000.0,20.5,2,2,120.0,30%-<36%,45-54
161,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,35000.0,90.27,2,2,140.0,20%-<30%,45-54
162,Not Hispanic or Latino,White,Male,3,2,1,2,65000.0,73.09,2,2,60.0,>60%,55-64
163,Not Hispanic or Latino,White,Male,1,2,1,31,415000.0,72.01,2,2,,<20%,25-34
164,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,115000.0,77.88,2,2,133.0,50%-60%,35-44
165,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,155000.0,78.15,2,2,120.0,39,25-34
166,Hispanic or Latino,Black or African American,Male,1,1,3,1,455000.0,100.0,2,2,118.0,30%-<36%,35-44
167,Not Hispanic or Latino,White,Male,3,2,1,2,85000.0,89.67,2,2,150.0,>60%,35-44
168,Not Hispanic or Latino,White,Male,1,2,1,2,155000.0,71.57,2,2,225.0,50%-60%,55-64
169,Ethnicity Not Available,Race Not Available,Female,3,2,1,2,105000.0,57.75,2,2,59.0,>60%,45-54
170,Not Hispanic or Latino,Black or African American,Male,3,2,3,32,195000.0,25.39,2,2,37.0,>60%,55-64
171,Not Hispanic or Latino,White,Female,3,2,1,2,405000.0,59.25,2,2,201.0,20%-<30%,25-34
172,Not Hispanic or Latino,White,Male,1,1,1,1,595000.0,101.74,2,2,97.0,45,35-44
173,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,155000.0,93.63,2,2,86.0,50%-60%,45-54
174,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,65000.0,24.05,2,2,112.0,46,45-54
175,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,505000.0,101.74,2,2,87.0,50%-60%,35-44
176,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,65000.0,99.43,2,2,145.0,50%-60%,35-44
177,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,105000.0,58.9,2,2,115.0,47,25-34
178,Not Hispanic or Latino,White,Female,3,2,1,1,265000.0,70.0,2,2,162.0,47,35-44
179,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,205000.0,71.78,2,2,16.0,>60%,35-44
180,Not Hispanic or Latino,White,Male,1,1,1,1,495000.0,90.0,2,2,185.0,<20%,25-34
181,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,45000.0,57.5,2,2,120.0,>60%,45-54
182,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,255000.0,89.01,2,2,105.0,>60%,25-34
183,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,705000.0,82.84,2,2,140.0,50%-60%,45-54
184,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,35000.0,46.31,2,2,54.0,>60%,35-44
185,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,25000.0,74.0,2,2,29.0,>60%,65-74
186,Ethnicity Not Available,White,Male,1,1,3,1,395000.0,100.0,2,2,101.0,41,35-44
187,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,275000.0,34.64,2,2,53.0,>60%,65-74
188,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,75000.0,85.47,2,2,121.0,40,35-44
189,Hispanic or Latino,White,Male,1,1,1,1,405000.0,52.98,2,2,83.0,44,<25
190,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,15000.0,35.4,2,2,62.0,48,45-54
191,Hispanic or Latino,White,Male,1,2,1,32,225000.0,69.9,2,2,147.0,37,45-54
192,Not Hispanic or Latino,Black or African American,Male,3,2,3,32,515000.0,100.0,2,2,62.0,>60%,45-54
193,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,15000.0,70.0,2,2,73.0,50%-60%,65-74
194,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,15000.0,71.88,2,2,41.0,39,55-64
195,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,365000.0,80.21,2,2,79.0,44,25-34
196,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,25000.0,65.23,2,2,83.0,>60%,35-44
197,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,15000.0,83.41,2,2,72.0,50%-60%,45-54
198,Not Hispanic or Latino,Joint,Male,3,2,1,32,35000.0,93.32,2,2,229.0,38,35-44
199,Not Hispanic or Latino,White,Male,1,1,3,1,605000.0,100.0,2,2,141.0,30%-<36%,25-34
200,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,15000.0,67.61,2,2,91.0,48,25-34
201,Not Hispanic or Latino,Black or African American,Male,3,2,3,32,115000.0,39.33,2,2,67.0,50%-60%,55-64
202,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,135000.0,37.26,2,2,14.0,>60%,>74
203,Not Hispanic or Latino,White,Male,1,2,1,2,65000.0,69.98,2,2,199.0,50%-60%,45-54
204,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,25000.0,73.96,2,2,36.0,47,55-64
205,Not Hispanic or Latino,White,Male,1,2,1,31,95000.0,80.0,2,2,166.0,48,35-44
206,Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,59.75,2,2,94.0,50%-60%,55-64
207,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,85000.0,16.66,2,2,60.0,46,45-54
208,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,85000.0,69.11,2,2,105.0,48,45-54
209,Ethnicity Not Available,Race Not Available,Female,1,1,3,1,995000.0,91.97,2,2,249.0,50%-60%,35-44
210,Not Hispanic or Latino,Black or African American,Male,1,2,1,4,135000.0,79.99,2,2,94.0,50%-60%,45-54
211,Not Hispanic or Latino,Black or African American,Male,1,2,1,2,105000.0,82.62,2,2,91.0,49,55-64
212,Not Hispanic or Latino,Black or African American,Male,3,2,3,32,195000.0,98.62,2,2,41.0,>60%,55-64
213,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,235000.0,71.87,2,2,54.0,39,55-64
214,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,35000.0,44.37,2,2,93.0,30%-<36%,45-54
215,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,25000.0,90.05,2,2,129.0,>60%,55-64
216,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,75000.0,75.0,2,2,117.0,50%-60%,45-54
217,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,105000.0,25.0,2,2,119.0,50%-60%,35-44
218,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,35000.0,14.11,2,2,84.0,20%-<30%,45-54
219,Not Hispanic or Latino,White,Female,1,2,1,2,15000.0,92.57,2,2,129.0,30%-<36%,35-44
220,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,35000.0,39.54,2,2,50.0,30%-<36%,55-64
221,Not Hispanic or Latino,White,Female,1,1,1,1,365000.0,74.59,2,2,102.0,30%-<36%,25-34
222,Not Hispanic or Latino,White,Female,1,2,1,4,35000.0,30.85,2,2,167.0,50%-60%,55-64
223,Not Hispanic or Latino,Race Not Available,Male,1,1,1,1,515000.0,101.74,2,2,105.0,37,25-34
224,Ethnicity Not Available,Race Not Available,Male,3,2,1,2,105000.0,68.05,2,2,75.0,>60%,55-64
225,Ethnicity Not Available,Black or African American,Male,1,2,1,2,55000.0,50.86,1,2,157.0,30%-<36%,35-44
226,Not Hispanic or Latino,Race Not Available,Female,3,2,1,4,25000.0,32.56,2,2,60.0,>60%,65-74
227,Ethnicity Not Available,Race Not Available,Female,3,2,1,2,45000.0,70.14,2,2,24.0,>60%,45-54
228,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,255000.0,77.51,2,2,97.0,50%-60%,55-64
229,Not Hispanic or Latino,White,Male,1,1,1,1,485000.0,101.75,2,2,142.0,30%-<36%,35-44
230,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,63.89,2,2,140.0,20%-<30%,55-64
231,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,95.94,2,2,156.0,47,35-44
232,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,105000.0,93.09,2,2,117.0,>60%,35-44
233,Not Hispanic or Latino,Black or African American,Male,1,1,1,1,265000.0,101.75,2,2,99.0,50%-60%,25-34
234,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,295000.0,86.62,2,2,151.0,30%-<36%,35-44
235,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,155000.0,35.31,2,2,58.0,20%-<30%,65-74
236,Not Hispanic or Latino,Black or African American,Female,1,1,3,1,475000.0,100.0,2,2,206.0,50%-60%,45-54
237,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,125000.0,34.4,2,2,14.0,>60%,>74
238,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,205000.0,101.75,2,2,97.0,30%-<36%,25-34
239,Ethnicity Not Available,Race Not Available,Female,3,2,1,32,385000.0,76.6,2,2,99.0,42,45-54
240,Not Hispanic or Latino,Asian,Female,3,2,1,2,35000.0,69.98,2,2,151.0,>60%,45-54
241,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,35000.0,75.0,2,2,67.0,>60%,>74
242,Not Hispanic or Latino,2 or more minority races,Female,1,2,1,2,85000.0,76.26,2,2,141.0,30%-<36%,45-54
243,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,105000.0,66.66,2,2,167.0,47,35-44
244,Not Hispanic or Latino,2 or more minority races,Female,1,2,1,32,285000.0,43.14,2,2,70.0,49,55-64
245,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,555000.0,42.62,2,2,77.0,>60%,45-54
246,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,555000.0,100.0,2,2,,<20%,35-44
247,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,195000.0,95.0,2,2,271.0,<20%,55-64
248,Not Hispanic or Latino,Black or African American,Male,1,2,3,1,455000.0,100.0,2,2,82.0,30%-<36%,<25
